epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.075,0.01,Sigmoid,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Identity,Identity,1.0,15.0,0.3363,0.3417,0.3409,0.3373,0.3361,0.3351,0.3307,0.3299,0.3291,0.3271,0.33442,2.2625599999999948e-05,0.2798,0.2985,0.305,0.3091,0.3147,0.3222,0.3269,0.3335,0.3403,0.3465,0.31765,0.00037440050000000006
100,0.075,0.1,Identity,Identity,1.0,46.0,0.357,0.357,0.3563,0.3503,0.3452,0.3402,0.3384,0.3374,0.3363,0.3347,0.34528,7.491760000000003e-05,0.307,0.3155,0.3235,0.3286,0.3326,0.3382,0.3434,0.3499,0.3565,0.3626,0.33578,0.00028639559999999977
100,0.075,0.1,Identity,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Identity,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Identity,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Identity,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Sigmoid,Identity,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Sigmoid,Identity,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Sigmoid,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
